533,31,56133,CLIENTE 1,41854274761,733067,20221227,5,R$83.720,19,777,CDC PESSOA JURIDICA,17,CRÉDITO DIRETO AO CONSUMIDOR,798586,2,Original,0,20220406,R$17.524,03,R$29.196,96,R$536,40,R$0,00,R$0,00,R$0,00,47257.39,Aberta,Vencida,0
533,32,56133,CLIENTE 1,41854274761,733067,20221227,5,R$83.720,19,777,CDC PESSOA JURIDICA,17,CRÉDITO DIRETO AO CONSUMIDOR,798586,3,Original,0,20241113,R$98.750,27,R$43.130,98,R$77.238,37,R$0,00,R$0,00,R$0,00,219119.62,Aberta,Vencida,0
533,32,56133,CLIENTE 1,41854274761,733067,20221227,5,R$83.720,19,777,CDC PESSOA JURIDICA,17,CRÉDITO DIRETO AO CONSUMIDOR,798586,4,Original,0,20221004,R$55.430,51,R$21.312,43,R$76.817,09,R$0,00,R$0,00,R$0,00,153560.03,Aberta,Vencida,0
533,32,56133,CLIENTE 1,41854274761,733067,20221227,5,R$83.720,19,777,CDC PESSOA JURIDICA,17,CRÉDITO DIRETO AO CONSUMIDOR,798586,5,Original,0,20230925,R$88.297,91,R$48.666,68,R$87.550,74,R$0,00,R$0,00,R$0,00,224515.33000000002,Aberta,Vencida,0
533,32,56133,CLIENTE 1,41854274761,733067,20221227,5,R$83.720,19,777,CDC PESSOA JURIDICA,17,CRÉDITO DIRETO AO CONSUMIDOR,798586,6,Original,0,20231023,R$43.609,60,R$15.383,17,R$39.056,15,R$0,00,R$0,00,R$0,00,98048.92,Aberta,Vencida,0
1150,25,81045,CLIENTE 2,953050644799,273134,20240804,5,R$49.396,22,1708,CDC PESSOA JURIDICA,2,CRÉDITO DIRETO AO CONSUMIDOR,826965,2,Original,0,20230502,R$54.815,71,R$69.011,51,R$87.297,20,R$0,00,R$0,00,R$0,00,211124.41999999998,Aberta,Vencida,0
1150,25,81045,CLIENTE 2,953050644799,273134,20240804,5,R$49.396,22,1708,CDC PESSOA JURIDICA,2,CRÉDITO DIRETO AO CONSUMIDOR,826965,3,Original,0,20240624,R$11.927,09,R$8.993,54,R$55.743,14,R$0,00,R$0,00,R$0,00,76663.77,Aberta,Vencida,0
1150,25,81045,CLIENTE 2,953050644799,273134,20240804,5,R$49.396,22,1708,CDC PESSOA JURIDICA,2,CRÉDITO DIRETO AO CONSUMIDOR,826965,4,Original,0,20220706,R$27.447,07,R$85.413,37,R$19.757,46,R$0,00,R$0,00,R$0,00,132617.9,Aberta,Vencida,0
1150,25,81045,CLIENTE 2,953050644799,273134,20240804,5,R$49.396,22,1708,CDC PESSOA JURIDICA,2,CRÉDITO DIRETO AO CONSUMIDOR,826965,5,Original,0,20230917,R$68.868,05,R$34.423,42,R$16.702,74,R$0,00,R$0,00,R$0,00,119994.21,Aberta,Vencida,0
1150,25,81045,CLIENTE 2,953050644799,273134,20240804,5,R$49.396,22,1708,CDC PESSOA JURIDICA,2,CRÉDITO DIRETO AO CONSUMIDOR,826965,6,Original,0,20240714,R$93.463,14,R$70.230,19,R$77.932,46,R$0,00,R$0,00,R$0,00,241625.79000000004,Aberta,Vencida,0
1536,19,22984,CLIENTE 3,448750507023,636046,20231013,3,R$45.521,15,1704,CDC PESSOA JURIDICA,3,CRÉDITO DIRETO AO CONSUMIDOR,396978,2,Original,0,20221113,R$56.846,65,R$55.541,90,R$38.328,24,R$0,00,R$0,00,R$0,00,150716.79,Aberta,Vencida,0
1536,19,22984,CLIENTE 3,448750507023,636046,20231013,3,R$45.521,15,1704,CDC PESSOA JURIDICA,3,CRÉDITO DIRETO AO CONSUMIDOR,396978,3,Original,0,20240314,R$83.115,55,R$32.144,00,R$63.088,13,R$0,00,R$0,00,R$0,00,178347.68,Aberta,Vencida,0
1536,19,22984,CLIENTE 3,448750507023,636046,20231013,3,R$45.521,15,1704,CDC PESSOA JURIDICA,3,CRÉDITO DIRETO AO CONSUMIDOR,396978,4,Original,0,20230217,R$81.565,13,R$68.893,21,R$85.232,52,R$0,00,R$0,00,R$0,00,235690.86000000004,Aberta,Vencida,0
458,44,91342,CLIENTE 4,352869205024,702186,20230509,3,R$87.737,91,826,CDC PESSOA JURIDICA,7,CRÉDITO DIRETO AO CONSUMIDOR,726379,2,Original,0,20240917,R$87.390,74,R$74.254,13,R$29.020,67,R$0,00,R$0,00,R$0,00,190665.53999999998,Aberta,Vencida,0
458,44,91342,CLIENTE 4,352869205024,702186,20230509,3,R$87.737,91,826,CDC PESSOA JURIDICA,7,CRÉDITO DIRETO AO CONSUMIDOR,726379,3,Original,0,20241114,R$93.005,63,R$8.499,78,R$38.610,60,R$0,00,R$0,00,R$0,00,140116.01,Aberta,Vencida,0
458,44,91342,CLIENTE 4,352869205024,702186,20230509,3,R$87.737,91,826,CDC PESSOA JURIDICA,7,CRÉDITO DIRETO AO CONSUMIDOR,726379,4,Original,0,20241025,R$20.672,31,R$81.410,23,R$11.767,55,R$0,00,R$0,00,R$0,00,113850.09,Aberta,Vencida,0
1542,31,54296,CLIENTE 5,100928909639,287837,20220920,7,R$49.556,23,1412,CDC PESSOA JURIDICA,17,CRÉDITO DIRETO AO CONSUMIDOR,132554,2,Original,0,20220204,R$96.790,30,R$57.650,89,R$12.174,66,R$0,00,R$0,00,R$0,00,166615.85,Aberta,Vencida,0
1542,31,54296,CLIENTE 5,100928909639,287837,20220920,7,R$49.556,23,1412,CDC PESSOA JURIDICA,17,CRÉDITO DIRETO AO CONSUMIDOR,132554,3,Original,0,20220703,R$64.563,78,R$13.485,95,R$88.080,69,R$0,00,R$0,00,R$0,00,166130.41999999998,Aberta,Vencida,0
1542,31,54296,CLIENTE 5,100928909639,287837,20220920,7,R$49.556,23,1412,CDC PESSOA JURIDICA,17,CRÉDITO DIRETO AO CONSUMIDOR,132554,4,Original,0,20240323,R$87.727,71,R$14.437,20,R$90.223,16,R$0,00,R$0,00,R$0,00,192388.07,Aberta,Vencida,0
